req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,abandoned,8587255,8577820,1,,,,3,
3,abandoned,8589154,8587238,8,,,,3,
4,completed,8589138,8587356,6,19.0,8.66999999999986,0.0,1,13.0
5,abandoned,8589152,8587255,1,,,,2,
6,completed,8587255,8588858,8,5.1799999999997794,15.95,1.0,1,-2.8200000000002206
7,completed,8577741,8587255,8,18.259999999998826,16.269999999999385,1.0,1,10.259999999998826
8,abandoned,8587255,8589158,10,,,,2,
9,completed,8588858,8589147,6,16.02333333333216,24.62333333333271,1.0,2,10.023333333332161
10,abandoned,8587255,8589141,9,,,,1,
11,waiting,8589161,8592374,0,,,,1,
12,abandoned,8589155,8592374,2,,,,4,
13,completed,8588858,8589138,5,15.9866666666655,23.056666666666047,1.0,2,10.9866666666655
14,completed,8589161,8577820,3,6.079999999956499,7.1,0.0,1,3.079999999956499
15,abandoned,8589155,8589130,1,,,,3,
16,completed,8589138,8577741,1,14.536666666665582,21.02666666666653,0.0,2,13.536666666665582
17,abandoned,8592374,8577785,5,,,,6,
18,waiting,8589152,8592377,20,,,,1,
19,waiting,8587238,8589141,28,,,,2,
20,waiting,8577786,8577741,21,,,,2,
21,waiting,8589147,8588351,30,,,,1,
22,waiting,8589152,8592378,25,,,,3,
23,waiting,8587356,8588344,21,,,,4,
24,waiting,8591766,8589155,23,,,,1,
25,waiting,8589161,8588351,31,,,,1,
26,waiting,8577785,8588858,31,,,,1,
27,waiting,8577741,8592377,37,,,,4,
28,waiting,8589154,8592375,35,,,,4,
29,waiting,8504622,8589131,35,,,,2,
30,waiting,8588344,8589155,34,,,,1,
31,waiting,8589158,8589155,40,,,,1,
32,waiting,8591767,8589152,40,,,,2,
33,waiting,8504622,8589147,33,,,,2,
34,waiting,8504622,8589141,36,,,,2,
35,waiting,8592377,8589154,38,,,,1,
36,waiting,8588858,8589155,35,,,,5,
37,waiting,8592375,8589161,30,,,,4,
38,waiting,8588858,8592375,30,,,,1,
39,waiting,8592374,8589130,46,,,,2,
40,waiting,8592377,8591767,43,,,,2,
41,waiting,8587356,8592378,45,,,,1,
42,waiting,8588344,8589154,47,,,,2,
43,waiting,8577741,8592378,50,,,,2,
44,waiting,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
