vehicle_id,time,type,occupancy,location,count
BUS_1_T1,0.0,ARRIVAL,0,A,
BUS_1_T1,300.0,ARRIVAL,0,B,
BUS_1_T1,600.0,ARRIVAL,0,C,
BUS_1_T1,900.0,ARRIVAL,0,D,
MINIBUS_1,30.0,ARRIVAL,1,A,
MINIBUS_1,30.0,BOARDING,1,A,1
MINIBUS_1,510.0,ARRIVAL,2,B,
MINIBUS_1,510.0,BOARDING,2,B,1
MINIBUS_1,930.0,ARRIVAL,0,D,
MINIBUS_1,930.0,ALIGHTING,0,D,2
BUS_2_T1,300.0,ARRIVAL,0,E,
BUS_2_T1,600.0,ARRIVAL,0,D,
BUS_2_T1,900.0,ARRIVAL,0,C,
BUS_2_T1,1200.0,ARRIVAL,0,B,
MINIBUS_2,330.0,ARRIVAL,1,A,
MINIBUS_2,330.0,BOARDING,1,A,1
MINIBUS_2,930.0,ARRIVAL,2,C,
MINIBUS_2,930.0,BOARDING,2,C,1
MINIBUS_2,930.0,ARRIVAL,1,C,
MINIBUS_2,930.0,ALIGHTING,1,C,1
MINIBUS_2,1200.0,ARRIVAL,0,E,
MINIBUS_2,1200.0,ALIGHTING,0,E,1
BUS_3_T1,600.0,ARRIVAL,1,A,
BUS_3_T1,600.0,BOARDING,1,A,1
BUS_3_T1,1020.0,ARRIVAL,1,C,
BUS_3_T1,1440.0,ARRIVAL,0,E,
BUS_3_T1,1440.0,ALIGHTING,0,E,1
MINIBUS_3,870.0,ARRIVAL,2,E,
MINIBUS_3,870.0,BOARDING,2,E,2
MINIBUS_3,1590.0,ARRIVAL,1,C,
MINIBUS_3,1590.0,ALIGHTING,1,C,1
MINIBUS_3,1950.0,ARRIVAL,0,B,
MINIBUS_3,1950.0,ALIGHTING,0,B,1
BUS_1_T2,1200.0,ARRIVAL,0,A,
BUS_1_T2,1500.0,ARRIVAL,0,B,
BUS_1_T2,1800.0,ARRIVAL,0,C,
BUS_1_T2,2100.0,ARRIVAL,0,D,
BUS_2_T2,1500.0,ARRIVAL,0,E,
BUS_2_T2,1800.0,ARRIVAL,0,D,
BUS_2_T2,2100.0,ARRIVAL,0,C,
BUS_2_T2,2400.0,ARRIVAL,0,B,
BUS_3_T2,1800.0,ARRIVAL,0,A,
BUS_3_T2,2220.0,ARRIVAL,0,C,
BUS_3_T2,2640.0,ARRIVAL,0,E,
BUS_1_T3,2400.0,ARRIVAL,0,A,
BUS_1_T3,2700.0,ARRIVAL,0,B,
BUS_1_T3,3000.0,ARRIVAL,0,C,
BUS_1_T3,3300.0,ARRIVAL,0,D,
BUS_2_T3,2700.0,ARRIVAL,0,E,
BUS_2_T3,3000.0,ARRIVAL,0,D,
BUS_2_T3,3300.0,ARRIVAL,0,C,
BUS_2_T3,3600.0,ARRIVAL,0,B,
BUS_3_T3,3000.0,ARRIVAL,0,A,
BUS_3_T3,3420.0,ARRIVAL,0,C,
