req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,completed,8587255,8577820,1,7.963333333333338,13.356666666666655,1.0,3,6.963333333333338
3,completed,8589154,8587238,8,0.9,18.286666666666633,1.0,3,-7.1
4,abandoned,8589138,8587356,6,,,,1,
5,abandoned,8589152,8587255,1,,,,2,
6,completed,8587255,8588858,8,8.0,19.713333333333324,1.0,1,0.0
7,abandoned,8577741,8587255,8,,,,1,
8,completed,8587255,8589158,10,14.889999999999475,17.779999999999973,0.0,2,4.889999999999475
9,in_transit,8588858,8589147,6,26.593333333333412,,1.0,2,20.593333333333412
10,completed,8587255,8589141,9,14.926666666666137,21.666666666666668,0.0,1,5.9266666666661365
11,completed,8589161,8592374,0,4.15,6.536666666665475,1.0,1,4.15
12,completed,8589155,8592374,2,8.720000000000056,3.3,0.0,4,6.720000000000056
13,abandoned,8588858,8589138,5,,,,2,
14,completed,8589161,8577820,3,5.536666666666548,9.673333333333204,0.0,1,2.536666666666548
15,abandoned,8589155,8589130,1,,,,3,
16,abandoned,8589138,8577741,1,,,,2,
17,abandoned,8592374,8577785,5,,,,6,
18,in_transit,8589152,8592377,20,24.409999999999513,,0.0,1,4.409999999999513
19,waiting,8587238,8589141,28,,,,2,
20,waiting,8577786,8577741,21,,,,2,
21,in_transit,8589147,8588351,30,30.0,,0.0,1,0.0
22,in_transit,8589152,8592378,25,24.446666666666175,,0.0,3,-0.5533333333338248
23,waiting,8587356,8588344,21,,,,4,
24,waiting,8591766,8589155,23,,,,1,
25,waiting,8589161,8588351,31,,,,1,
26,waiting,8577785,8588858,31,,,,1,
27,waiting,8577741,8592377,37,,,,4,
28,waiting,8589154,8592375,35,,,,4,
29,waiting,8504622,8589131,35,,,,2,
30,waiting,8588344,8589155,34,,,,1,
31,waiting,8589158,8589155,40,,,,1,
32,waiting,8591767,8589152,40,,,,2,
33,waiting,8504622,8589147,33,,,,2,
34,waiting,8504622,8589141,36,,,,2,
35,waiting,8592377,8589154,38,,,,1,
36,waiting,8588858,8589155,35,,,,5,
37,waiting,8592375,8589161,30,,,,4,
38,waiting,8588858,8592375,30,,,,1,
39,waiting,8592374,8589130,46,,,,2,
40,waiting,8592377,8591767,43,,,,2,
41,waiting,8587356,8592378,45,,,,1,
42,waiting,8588344,8589154,47,,,,2,
43,waiting,8577741,8592378,50,,,,2,
44,waiting,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
