req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,completed,8587255,8577820,1,8.19333333333202,14.496666666665334,1.0,3,7.193333333332021
3,abandoned,8589154,8587238,8,,,,3,
4,completed,8589138,8587356,6,9.319999999989207,14.039999999999907,0.0,1,3.319999999989207
5,completed,8589152,8587255,1,11.633333333333333,7.579999999999927,0.0,2,10.633333333333333
6,abandoned,8587255,8588858,8,,,,1,
7,abandoned,8577741,8587255,8,,,,1,
8,completed,8587255,8589158,10,7.616666666666666,17.816666666666666,0.0,2,-2.3833333333333337
9,abandoned,8588858,8589147,6,,,,2,
10,completed,8587255,8589141,9,25.133333333333333,26.71333333333269,0.0,1,16.133333333333333
11,completed,8589161,8592374,0,2.2,4.5866666666653515,1.0,1,2.2
12,completed,8589155,8592374,2,6.729999999997332,8.066666666666666,1.0,4,4.729999999997332
13,abandoned,8588858,8589138,5,,,,2,
14,completed,8589161,8577820,3,10.359999999998678,14.533333333333333,1.0,1,7.359999999998678
15,abandoned,8589155,8589130,1,,,,3,
16,abandoned,8589138,8577741,1,,,,2,
17,abandoned,8592374,8577785,5,,,,6,
18,completed,8589152,8592377,20,25.889999999999258,30.60666666666657,0.0,1,5.889999999999258
19,completed,8587238,8589141,28,37.846666666666465,39.373333333333335,1.0,2,9.846666666666465
20,abandoned,8577786,8577741,21,,,,2,
21,completed,8589147,8588351,30,30.0,39.00666666666666,0.0,1,0.0
22,completed,8589152,8592378,25,25.92666666666603,29.6,0.0,3,0.9266666666660299
23,completed,8587356,8588344,21,7.529999999999859,31.88000000000011,1.0,4,-13.470000000000141
24,abandoned,8591766,8589155,23,,,,1,
25,abandoned,8589161,8588351,31,,,,1,
26,abandoned,8577785,8588858,31,,,,1,
27,abandoned,8577741,8592377,37,,,,4,
28,completed,8589154,8592375,35,48.31666666666667,52.96666666666667,0.0,4,13.31666666666667
29,abandoned,8504622,8589131,35,,,,2,
30,abandoned,8588344,8589155,34,,,,1,
31,completed,8589158,8589155,40,10.0,60.286666666666655,1.0,1,-30.0
32,abandoned,8591767,8589152,40,,,,2,
33,abandoned,8504622,8589147,33,,,,2,
34,completed,8504622,8589141,36,37.0,39.33666666666667,1.0,2,1.0
35,completed,8592377,8589154,38,38.0,48.35333333333333,0.0,1,0.0
36,abandoned,8588858,8589155,35,,,,5,
37,abandoned,8592375,8589161,30,,,,4,
38,abandoned,8588858,8592375,30,,,,1,
39,completed,8592374,8589130,46,41.14666666666565,61.583333333333336,0.0,2,-4.853333333334348
40,abandoned,8592377,8591767,43,,,,2,
41,abandoned,8587356,8592378,45,,,,1,
42,completed,8588344,8589154,47,51.45,57.9,1.0,2,4.450000000000003
43,waiting,8577741,8592378,50,,,,2,
44,abandoned,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
46,waiting,8589147,8592377,59,,,,2,
47,waiting,8589138,8592378,59,,,,1,
48,waiting,8577741,8589131,53,,,,3,
49,waiting,8577820,8589271,57,,,,2,
50,waiting,8591767,8589161,50,,,,3,
51,waiting,8577785,8577786,52,,,,2,
52,waiting,8589154,8504622,60,,,,1,
53,waiting,8589138,8589152,51,,,,2,
54,waiting,8577741,8589152,57,,,,1,
55,waiting,8589271,8592377,58,,,,1,
56,waiting,8577785,8587255,70,,,,1,
57,in_transit,8587238,8577786,70,69.39333333333332,,1.0,1,-0.6066666666666833
58,waiting,8592378,8589147,64,,,,4,
59,waiting,8589161,8589154,65,,,,2,
60,in_transit,8577786,8588351,66,66.0,,0.0,1,0.0
61,waiting,8504622,8589141,60,,,,4,
62,waiting,8587238,8592378,64,,,,5,
63,waiting,8589271,8589161,62,,,,2,
64,waiting,8589271,8577786,70,,,,1,
65,waiting,8588351,8592375,70,,,,1,
66,waiting,8589271,8589152,63,,,,1,
67,waiting,8577820,8589131,62,,,,1,
68,waiting,8589147,8589161,78,,,,2,
69,waiting,8587255,8589152,75,,,,3,
70,waiting,8589270,8587255,71,,,,2,
71,waiting,8589131,8592378,74,,,,1,
72,waiting,8588858,8591766,73,,,,2,
73,waiting,8592378,8587356,71,,,,4,
74,waiting,8591767,8587238,77,,,,1,
75,waiting,8592375,8591767,78,,,,2,
76,waiting,8589161,8577820,72,,,,1,
77,waiting,8589155,8589270,78,,,,4,
78,waiting,8504622,8592377,78,,,,5,
79,waiting,8577785,8589152,76,,,,2,
80,waiting,8588344,8589147,83,,,,3,
81,waiting,8589158,8588351,86,,,,2,
82,waiting,8589155,8589154,85,,,,5,
83,waiting,8589141,8592378,88,,,,5,
84,waiting,8589141,8577786,83,,,,5,
85,waiting,8588858,8591767,85,,,,1,
