req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,completed,8587255,8577820,1,7.069999999997208,13.319999999999993,0.0,3,6.069999999997208
3,abandoned,8589154,8587238,8,,,,3,
4,abandoned,8589138,8587356,6,,,,1,
5,abandoned,8589152,8587255,1,,,,2,
6,completed,8587255,8588858,8,7.106666666662022,19.713333333333324,0.0,1,-0.8933333333379778
7,completed,8577741,8587255,8,8.0,16.366664981368462,1.0,1,0.0
8,completed,8587255,8589158,10,16.403333417294462,17.78000000000006,1.0,2,6.403333417294462
9,completed,8588858,8589147,6,10.28666498136855,16.873333333333395,1.0,2,4.286664981368549
10,completed,8587255,8589141,9,11.0,19.50333333333333,0.0,1,2.0
11,abandoned,8589161,8592374,0,,,,1,
12,completed,8589155,8592374,2,11.423331648035205,12.759998314701793,1.0,4,9.423331648035205
13,completed,8588858,8589138,5,19.676666666666662,17.78666666666666,0.0,2,14.676666666666662
14,completed,8589161,8577820,3,4.15,8.286666666660864,1.0,1,1.1500000000000004
15,abandoned,8589155,8589130,1,,,,3,
16,abandoned,8589138,8577741,1,,,,2,
17,abandoned,8592374,8577785,5,,,,6,
18,completed,8589152,8592377,20,24.963333333332173,39.373333333332056,1.0,1,4.963333333332173
19,completed,8587238,8589141,28,28.13666666666673,39.13000000000011,1.0,2,0.13666666666673066
20,abandoned,8577786,8577741,21,,,,2,
21,completed,8589147,8588351,30,12.0,39.016666666666666,1.0,1,-18.0
22,completed,8589152,8592378,25,25.0,38.36666666666667,1.0,3,0.0
23,abandoned,8587356,8588344,21,,,,4,
24,completed,8591766,8589155,23,23.51333333333335,39.67666666666611,0.0,1,0.5133333333333496
25,completed,8589161,8588351,31,31.0,33.71666666666667,0.0,1,0.0
26,abandoned,8577785,8588858,31,,,,1,
27,completed,8577741,8592377,37,7.0,48.016666666666666,0.0,4,-30.0
28,abandoned,8589154,8592375,35,,,,4,
29,abandoned,8504622,8589131,35,,,,2,
30,abandoned,8588344,8589155,34,,,,1,
31,abandoned,8589158,8589155,40,,,,1,
32,completed,8591767,8589152,40,52.829999999998066,55.016666666666666,1.0,2,12.829999999998066
33,completed,8504622,8589147,33,46.073333333331874,47.05999999999855,1.0,2,13.073333333331874
34,completed,8504622,8589141,36,47.92666666666521,50.26333333333139,1.0,2,11.926666666665213
35,completed,8592377,8589154,38,48.05333333333317,48.66333333333333,0.0,1,10.053333333333171
36,completed,8588858,8589155,35,38.52333333333337,39.63999999999993,0.0,5,3.523333333333369
37,abandoned,8592375,8589161,30,,,,4,
38,completed,8588858,8592375,30,52.28666666666609,59.52999999999997,0.0,1,22.286666666666093
39,abandoned,8592374,8589130,46,,,,2,
40,abandoned,8592377,8591767,43,,,,2,
41,abandoned,8587356,8592378,45,,,,1,
42,abandoned,8588344,8589154,47,,,,2,
43,completed,8577741,8592378,50,50.0,61.73000000000002,0.0,2,0.0
44,abandoned,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
46,in_transit,8589147,8592377,59,68.08333333333333,,1.0,2,9.083333333333329
47,waiting,8589138,8592378,59,,,,1,
48,waiting,8577741,8589131,53,,,,3,
49,waiting,8577820,8589271,57,,,,2,
50,waiting,8591767,8589161,50,,,,3,
51,completed,8577785,8577786,52,63.516666666666666,66.4533333333334,0.0,2,11.516666666666666
52,waiting,8589154,8504622,60,,,,1,
53,completed,8589138,8589152,51,54.046666666664734,55.05333333333144,1.0,2,3.046666666664734
54,waiting,8577741,8589152,57,,,,1,
55,in_transit,8589271,8592377,58,32.96333333333334,,1.0,1,-25.03666666666666
56,waiting,8577785,8587255,70,,,,1,
57,waiting,8587238,8577786,70,,,,1,
58,waiting,8592378,8589147,64,,,,4,
59,waiting,8589161,8589154,65,,,,2,
60,in_transit,8577786,8588351,66,66.49000000000007,,0.0,1,0.49000000000006594
61,waiting,8504622,8589141,60,,,,4,
62,waiting,8587238,8592378,64,,,,5,
63,waiting,8589271,8589161,62,,,,2,
64,waiting,8589271,8577786,70,,,,1,
65,waiting,8588351,8592375,70,,,,1,
66,completed,8589271,8589152,63,63.0,65.56666666666666,1.0,1,0.0
67,waiting,8577820,8589131,62,,,,1,
68,waiting,8589147,8589161,78,,,,2,
69,waiting,8587255,8589152,75,,,,3,
70,waiting,8589270,8587255,71,,,,2,
71,waiting,8589131,8592378,74,,,,1,
72,waiting,8588858,8591766,73,,,,2,
73,waiting,8592378,8587356,71,,,,4,
74,waiting,8591767,8587238,77,,,,1,
75,waiting,8592375,8591767,78,,,,2,
76,waiting,8589161,8577820,72,,,,1,
77,waiting,8589155,8589270,78,,,,4,
78,waiting,8504622,8592377,78,,,,5,
79,waiting,8577785,8589152,76,,,,2,
80,waiting,8588344,8589147,83,,,,3,
81,waiting,8589158,8588351,86,,,,2,
82,waiting,8589155,8589154,85,,,,5,
83,waiting,8589141,8592378,88,,,,5,
84,waiting,8589141,8577786,83,,,,5,
85,waiting,8588858,8591767,85,,,,1,
