req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,abandoned,8587255,8577820,1,,,,3,
3,completed,8589154,8587238,8,19.206666666666663,29.493333333333297,0.0,3,11.206666666666663
4,completed,8589138,8587356,6,9.319999999999936,8.7,0.0,1,3.3199999999999363
5,completed,8589152,8587255,1,39.86666666666667,8.75,0.0,2,38.86666666666667
6,completed,8587255,8588858,8,15.306666666666715,20.15,0.0,1,7.306666666666715
7,completed,8577741,8587255,8,22.156666666666553,16.269999999999982,1.0,1,14.156666666666553
8,completed,8587255,8589158,10,12.303333333333482,19.939999999999998,1.0,2,2.303333333333482
9,completed,8588858,8589147,6,6.466666666666667,6.829999999999927,1.0,2,0.4666666666666668
10,completed,8587255,8589141,9,16.306666666658742,24.713333333325494,1.0,1,7.306666666658742
11,abandoned,8589161,8592374,0,,,,1,
12,completed,8589155,8592374,2,6.730000000000047,8.066666666666666,1.0,4,4.730000000000047
13,completed,8588858,8589138,5,6.4300000000001845,8.36999999999989,1.0,2,1.4300000000001845
14,abandoned,8589161,8577820,3,,,,1,
15,abandoned,8589155,8589130,1,,,,3,
16,completed,8589138,8577741,1,6.0,17.72,0.0,2,5.0
17,abandoned,8592374,8577785,5,,,,6,
18,abandoned,8589152,8592377,20,,,,1,
19,completed,8587238,8589141,28,29.456666666666763,39.13000000000011,0.0,2,1.456666666666763
20,abandoned,8577786,8577741,21,,,,2,
21,abandoned,8589147,8588351,30,,,,1,
22,abandoned,8589152,8592378,25,,,,3,
23,abandoned,8587356,8588344,21,,,,4,
24,abandoned,8591766,8589155,23,,,,1,
25,completed,8589161,8588351,31,35.019999999992166,37.73666666665886,1.0,1,4.019999999992166
26,abandoned,8577785,8588858,31,,,,1,
27,abandoned,8577741,8592377,37,,,,4,
28,abandoned,8589154,8592375,35,,,,4,
29,completed,8504622,8589131,35,36.68333333333333,47.08999999999991,0.0,2,1.68333333333333
30,abandoned,8588344,8589155,34,,,,1,
31,completed,8589158,8589155,40,42.50666666666595,56.21666666666667,1.0,1,2.50666666666595
32,completed,8591767,8589152,40,49.78333333333333,42.15,1.0,2,9.783333333333331
33,completed,8504622,8589147,33,40.653333333332625,41.639999999999304,1.0,2,7.653333333332625
34,completed,8504622,8589141,36,36.0,38.33666666666659,1.0,2,0.0
35,abandoned,8592377,8589154,38,,,,1,
36,abandoned,8588858,8589155,35,,,,5,
37,abandoned,8592375,8589161,30,,,,4,
38,abandoned,8588858,8592375,30,,,,1,
39,abandoned,8592374,8589130,46,,,,2,
40,abandoned,8592377,8591767,43,,,,2,
41,abandoned,8587356,8592378,45,,,,1,
42,abandoned,8588344,8589154,47,,,,2,
43,in_transit,8577741,8592378,50,59.28333333333333,,1.0,2,9.283333333333331
44,waiting,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
46,waiting,8589147,8592377,59,,,,2,
47,waiting,8589138,8592378,59,,,,1,
48,waiting,8577741,8589131,53,,,,3,
49,waiting,8577820,8589271,57,,,,2,
50,waiting,8591767,8589161,50,,,,3,
51,completed,8577785,8577786,52,52.0,54.416666666666664,0.0,2,0.0
52,waiting,8589154,8504622,60,,,,1,
53,waiting,8589138,8589152,51,,,,2,
54,waiting,8577741,8589152,57,,,,1,
55,waiting,8589271,8592377,58,,,,1,
56,waiting,8577785,8587255,70,,,,1,
57,waiting,8587238,8577786,70,,,,1,
58,waiting,8592378,8589147,64,,,,4,
59,waiting,8589161,8589154,65,,,,2,
60,waiting,8577786,8588351,66,,,,1,
61,waiting,8504622,8589141,60,,,,4,
62,waiting,8587238,8592378,64,,,,5,
63,waiting,8589271,8589161,62,,,,2,
64,waiting,8589271,8577786,70,,,,1,
65,waiting,8588351,8592375,70,,,,1,
66,waiting,8589271,8589152,63,,,,1,
67,waiting,8577820,8589131,62,,,,1,
68,waiting,8589147,8589161,78,,,,2,
69,waiting,8587255,8589152,75,,,,3,
70,waiting,8589270,8587255,71,,,,2,
71,waiting,8589131,8592378,74,,,,1,
72,waiting,8588858,8591766,73,,,,2,
73,waiting,8592378,8587356,71,,,,4,
74,waiting,8591767,8587238,77,,,,1,
75,waiting,8592375,8591767,78,,,,2,
76,waiting,8589161,8577820,72,,,,1,
77,waiting,8589155,8589270,78,,,,4,
78,waiting,8504622,8592377,78,,,,5,
79,waiting,8577785,8589152,76,,,,2,
