req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,completed,8587255,8577820,1,7.963332934058585,13.356665868115574,1.0,3,6.963332934058585
3,abandoned,8589154,8587238,8,,,,3,
4,completed,8589138,8587356,6,9.319999999999936,8.7,0.0,1,3.3199999999999363
5,abandoned,8589152,8587255,1,,,,2,
6,completed,8587255,8588858,8,7.999999600725514,19.749999201447295,1.0,1,-3.992744863623443e-07
7,completed,8577741,8587255,8,13.319999999999908,23.760000545791442,0.0,1,5.319999999999908
8,completed,8587255,8589158,10,17.99000000000015,25.806666666666757,1.0,2,7.990000000000151
9,completed,8588858,8589147,6,19.713332534781284,24.9,1.0,2,13.713332534781284
10,completed,8587255,8589141,9,18.043333333333436,29.693333333333428,1.0,1,9.043333333333436
11,completed,8589161,8592374,0,4.149999999608326,6.536666666275096,1.0,1,4.149999999608326
12,completed,8589155,8592374,2,7.079999999999998,9.036666666666704,1.0,4,5.079999999999998
13,completed,8588858,8589138,5,17.72333387912478,21.883333333333333,0.0,2,12.72333387912478
14,abandoned,8589161,8577820,3,,,,1,
15,abandoned,8589155,8589130,1,,,,3,
16,completed,8589138,8577741,1,6.0,13.356666666666577,0.0,2,5.0
17,abandoned,8592374,8577785,5,,,,6,
18,completed,8589152,8592377,20,4.143333333333345,40.05666666666633,1.0,1,-15.856666666666655
19,abandoned,8587238,8589141,28,,,,2,
20,abandoned,8577786,8577741,21,,,,2,
21,completed,8589147,8588351,30,41.81666666666667,38.98000000000002,0.0,1,11.81666666666667
22,completed,8589152,8592378,25,37.63000000000008,39.05,1.0,3,12.63000000000008
23,abandoned,8587356,8588344,21,,,,4,
24,completed,8591766,8589155,23,23.0,36.709999999999894,0.0,1,0.0
25,completed,8589161,8588351,31,3.579999999999586,33.73666666666668,0.0,1,-27.420000000000414
26,abandoned,8577785,8588858,31,,,,1,
27,in_transit,8577741,8592377,37,45.48666666666662,,0.0,4,8.486666666666622
28,completed,8589154,8592375,35,48.31666666666667,58.55333333333334,1.0,4,13.31666666666667
29,abandoned,8504622,8589131,35,,,,2,
30,abandoned,8588344,8589155,34,,,,1,
31,abandoned,8589158,8589155,40,,,,1,
32,abandoned,8591767,8589152,40,,,,2,
33,completed,8504622,8589147,33,40.79333333333335,41.78000000000003,0.0,2,7.793333333333351
34,completed,8504622,8589141,36,36.0,38.416666666666664,1.0,2,0.0
35,completed,8592377,8589154,38,40.09333333333159,48.27999999999997,1.0,1,2.093333333331593
36,completed,8588858,8589155,35,35.55666666666667,36.67333333333323,0.0,5,0.556666666666672
37,abandoned,8592375,8589161,30,,,,4,
38,abandoned,8588858,8592375,30,,,,1,
39,abandoned,8592374,8589130,46,,,,2,
40,abandoned,8592377,8591767,43,,,,2,
41,abandoned,8587356,8592378,45,,,,1,
42,abandoned,8588344,8589154,47,,,,2,
43,in_transit,8577741,8592378,50,45.5233333333332,,0.0,2,-4.476666666666802
44,abandoned,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
46,waiting,8589147,8592377,59,,,,2,
47,waiting,8589138,8592378,59,,,,1,
48,waiting,8577741,8589131,53,,,,3,
49,waiting,8577820,8589271,57,,,,2,
50,waiting,8591767,8589161,50,,,,3,
51,waiting,8577785,8577786,52,,,,2,
52,waiting,8589154,8504622,60,,,,1,
53,waiting,8589138,8589152,51,,,,2,
54,waiting,8577741,8589152,57,,,,1,
55,waiting,8589271,8592377,58,,,,1,
56,waiting,8577785,8587255,70,,,,1,
57,waiting,8587238,8577786,70,,,,1,
58,waiting,8592378,8589147,64,,,,4,
59,waiting,8589161,8589154,65,,,,2,
60,waiting,8577786,8588351,66,,,,1,
61,waiting,8504622,8589141,60,,,,4,
62,waiting,8587238,8592378,64,,,,5,
63,waiting,8589271,8589161,62,,,,2,
64,waiting,8589271,8577786,70,,,,1,
65,waiting,8588351,8592375,70,,,,1,
66,waiting,8589271,8589152,63,,,,1,
67,waiting,8577820,8589131,62,,,,1,
68,waiting,8589147,8589161,78,,,,2,
69,waiting,8587255,8589152,75,,,,3,
70,waiting,8589270,8587255,71,,,,2,
71,waiting,8589131,8592378,74,,,,1,
72,waiting,8588858,8591766,73,,,,2,
73,waiting,8592378,8587356,71,,,,4,
74,waiting,8591767,8587238,77,,,,1,
75,waiting,8592375,8591767,78,,,,2,
76,waiting,8589161,8577820,72,,,,1,
77,waiting,8589155,8589270,78,,,,4,
78,waiting,8504622,8592377,78,,,,5,
79,waiting,8577785,8589152,76,,,,2,
